n,p,base_deg,split_deg
3,5,2,12*
3,7,1,6
3,11,2,12*
3,13,1,5
3,17,2,8*
3,19,1,6
3,23,2,10*
3,29,2,12*
4,3,2,16*
4,5,1,5
4,7,2,16*
4,11,2,14*
4,13,1,7
4,17,1,6
4,19,2,16*
4,23,2,14*
4,29,1,7
5,3,4,80
5,7,4,32
5,11,1,9
5,13,4,48
5,17,4,8
5,19,2,18*
5,23,4,56
5,29,2,12*
6,5,2,20*
6,7,1,12
6,11,2,24*
6,13,1,4
6,17,2,16*
6,19,1,14
6,23,2,24*
6,29,2,22*
7,3,6,252
7,5,6,48
7,11,3,180
7,13,2,22*
7,17,6,72
7,19,6,132
7,23,3,42
7,29,1,14
8,3,2,84*
8,5,2,24*
8,7,2,42*
8,11,2,26*
8,13,2,22*
8,17,1,13
8,19,2,26*
8,23,2,16*
8,29,2,72*
9,5,6,72
9,7,3,180
9,11,6,180
9,13,3,198
9,17,2,34*
9,19,1,90
9,23,6,504
9,29,6,72
10,3,4,80
10,7,4,480
10,11,1,51
10,13,4,160
10,17,4,260
10,19,2,72*
10,23,4,360
10,29,2,156*
11,3,5,80
11,5,5,210
11,7,10,210
11,13,10,160
11,17,10,400
11,19,10,220
11,23,1,105
11,29,10,600
